ID,cidade,UF,regiao,pais
242,"Presidente Prudente",SP,Sudeste,Brasil
243,"Coroatá",MA,Nordeste,Brasil
244,Coxim,MS,Centro-Oeste,Brasil
245,"Engenheiro Beltrão",PR,Sul,Brasil
246,"Limoeiro do Norte",CE,Nordeste,Brasil
247,Lavras,MG,Sudeste,Brasil
248,Guarabira,PB,Nordeste,Brasil
249,"Cruz Alta",RS,Sul,Brasil
250,"Rio Preto da Eva",AM,Norte,Brasil
251,"União da Vitória",PR,Sul,Brasil
252,Itacuruba,PE,Nordeste,Brasil
253,"Jaguaré",ES,Sudeste,Brasil
254,Jaru,RO,Norte,Brasil
255,"Joaçaba",SC,Sul,Brasil
256,"Primavera do Leste",MT,Centro-Oeste,Brasil
257,Mineiros,GO,Centro-Oeste,Brasil
258,"Montes Claros",MG,Sudeste,Brasil
259,Ipameri,GO,Centro-Oeste,Brasil
260,"Olímpia",SP,Sudeste,Brasil
261,"Paraíso do Tocantins",TO,Norte,Brasil
262,"Paranoá",DF,Centro-Oeste,Brasil
263,"Pau dos Ferros",RN,Nordeste,Brasil
264,Paulista,PE,Nordeste,Brasil
265,Alvorada,RS,Sul,Brasil
266,Pirambu,SE,Nordeste,Brasil
267,"Poções",BA,Nordeste,Brasil
268,"Quixadá",CE,Nordeste,Brasil
269,"Rio Claro",SP,Sudeste,Brasil
270,"Iúna",ES,Sudeste,Brasil
271,"Rio Verde",GO,Centro-Oeste,Brasil
272,Apucarana,PR,Sul,Brasil
273,"Santa Rita",PB,Nordeste,Brasil
274,"São Borja",RS,Sul,Brasil
275,"São Carlos",SP,Sudeste,Brasil
276,"São Gabriel",RS,Sul,Brasil
277,"Serra Talhada",PE,Nordeste,Brasil
278,"Coronel Fabriciano",MG,Sudeste,Brasil
279,"Goianésia",GO,Centro-Oeste,Brasil
280,"Nova Iguaçu",RJ,Sudeste,Brasil
281,"Iporá",GO,Centro-Oeste,Brasil
282,Sinop,MT,Centro-Oeste,Brasil
283,"Porto Acre",AC,Norte,Brasil
284,"Porto Nacional",TO,Norte,Brasil
285,Murici,AL,Nordeste,Brasil
286,"Patrocínio",MG,Sudeste,Brasil
287,"Águia Branca",ES,Sudeste,Brasil
288,"São Leopoldo",RS,Sul,Brasil
289,"Concórdia",SC,Sul,Brasil
290,"Barra do Corda",MA,Nordeste,Brasil
291,Iguatu,CE,Nordeste,Brasil
292,"Tucuruí",PA,Norte,Brasil
293,"São Mateus do Maranhão",MA,Nordeste,Brasil
294,Itacoatiara,AM,Norte,Brasil
295,"Plácido de Castro",AC,Norte,Brasil
296,Resende,RJ,Sudeste,Brasil
297,Vilhena,RO,Norte,Brasil
298,"Afogados da Ingazeira",PE,Nordeste,Brasil
299,Diadema,SP,Sudeste,Brasil
300,Aquidauana,MS,Centro-Oeste,Brasil
301,Aracruz,ES,Sudeste,Brasil
302,Osasco,SP,Sudeste,Brasil
303,"São João de Meriti",RJ,Sudeste,Brasil
304,"Pato Branco",PR,Sul,Brasil
305,"Balneário Camboriú",SC,Sul,Brasil
306,"Bragança",PA,Norte,Brasil
307,"Cametá",PA,Norte,Brasil
308,Caucaia,CE,Nordeste,Brasil
309,"Gravataí",RS,Sul,Brasil
310,"Campo Maior",PI,Nordeste,Brasil
311,"Costa Rica",MS,Centro-Oeste,Brasil
312,"Palmeira dos Índios",AL,Nordeste,Brasil
313,Lajeado,RS,Sul,Brasil
314,"Maracanaú",CE,Nordeste,Brasil
315,Pacajus,CE,Nordeste,Brasil
316,Paragominas,PA,Norte,Brasil
317,"Penápolis",SP,Sudeste,Brasil
318,"Carmópolis",SE,Nordeste,Brasil
319,"Santo Antônio de Leverger",MT,Centro-Oeste,Brasil
320,"Alto Araguaia",MT,Centro-Oeste,Brasil
321,Arapongas,PR,Sul,Brasil
322,"Araxá",MG,Sudeste,Brasil
323,"Assú",RN,Nordeste,Brasil
324,Itapemirim,ES,Sudeste,Brasil
325,Carpina,PE,Nordeste,Brasil
326,"Belo Jardim",PE,Nordeste,Brasil
327,"Camboriú",SC,Sul,Brasil
328,Crato,CE,Nordeste,Brasil
329,Cachoeirinha,RS,Sul,Brasil
330,"Barra dos Coqueiros",SE,Nordeste,Brasil
331,Formosa,DF,Centro-Oeste,Brasil
332,"Frei Paulo",SE,Nordeste,Brasil
333,"Palhoça",SC,Sul,Brasil
334,"Bagé",RS,Sul,Brasil
335,Itabirito,MG,Sudeste,Brasil
336,"Itaboraí",RJ,Sudeste,Brasil
337,"Itaporã",MS,Centro-Oeste,Brasil
338,"Jaraguá",GO,Centro-Oeste,Brasil
339,"Pão de Açúcar",AL,Nordeste,Brasil
340,Jacobina,BA,Nordeste,Brasil
341,"Jequié",BA,Nordeste,Brasil
342,"Maricá",RJ,Sudeste,Brasil
343,"Monte Azul Paulista",SP,Sudeste,Brasil
344,Esmeraldas,MG,Sudeste,Brasil
345,"Cruzeiro do Sul",AC,Norte,Brasil
346,"Naviraí",MS,Centro-Oeste,Brasil
347,"Nova Mutum",MT,Centro-Oeste,Brasil
348,"Nova Venécia",ES,Sudeste,Brasil
349,Penedo,AL,Nordeste,Brasil
350,"Prudentópolis",PR,Sul,Brasil
351,"Venda Nova do Imigrante",ES,Sudeste,Brasil
352,"Boca da Mata",AL,Nordeste,Brasil
353,Santana,AP,Norte,Brasil
354,"São José dos Pinhais",PR,Sul,Brasil
355,"Cruz do Espírito Santo",PB,Nordeste,Brasil
356,"Miracema do Tocantins",TO,Norte,Brasil
