id,nome,nascimento,falecimento,nacionalidade,naturalidade,situacao
1,Oswaldo Augusto Brandão,1916-09-18,Falecido - 1989-07-29 (72 anos),Brasil,Taquara (RS),
2,Manuel Fleitas Solich,1901-12-30,Falecido - 1984-03-24 (82 anos),Paraguai,Asunción,
3,Telê Santana da Silva,1931-07-26,Falecido - 2006-04-21 (74 anos),Brasil,Itabarito (MG),
