partida_id,jogador_id,clube_id,titular,posicao_jogada,numero_camisa
1,1,1,1,,
1,2,1,1,,
1,3,1,1,,
1,4,1,1,,
1,5,1,1,,
1,6,1,1,,
1,7,1,1,,
1,8,1,1,,
1,9,1,1,,
1,10,1,1,,
1,11,1,1,,
1,12,2,1,,
1,13,2,1,,
1,14,2,1,,
1,15,2,1,,
1,16,2,1,,
1,17,2,1,,
1,18,2,1,,
1,19,2,1,,
1,20,2,1,,
1,21,2,1,,
1,22,2,1,,
1,23,1,0,,
1,24,1,0,,
1,25,2,0,,
1,26,2,0,,
2,27,3,1,,
2,28,3,1,,
2,29,3,1,,
2,30,3,1,,
2,31,3,1,,
2,32,3,1,,
2,33,3,1,,
2,34,3,1,,
2,35,3,1,,
2,36,3,1,,
2,37,3,1,,
2,38,4,1,,
2,39,4,1,,
2,40,4,1,,
2,41,4,1,,
2,42,4,1,,
2,43,4,1,,
2,44,4,1,,
2,45,4,1,,
2,46,4,1,,
2,47,4,1,,
2,48,4,1,,
2,49,3,0,,
2,50,3,0,,
2,51,4,0,,
3,52,5,1,,
3,53,5,1,,
3,54,5,1,,
3,55,5,1,,
3,56,5,1,,
3,57,5,1,,
3,58,5,1,,
3,59,5,1,,
3,60,5,1,,
3,61,5,1,,
3,62,5,1,,
3,63,6,1,,
3,64,6,1,,
3,65,6,1,,
3,66,6,1,,
3,67,6,1,,
3,68,6,1,,
3,69,6,1,,
3,70,6,1,,
3,71,6,1,,
3,72,6,1,,
3,73,6,1,,
3,74,5,0,,
3,75,6,0,,
4,76,7,1,,
4,77,7,1,,
4,78,7,1,,
4,79,7,1,,
4,80,7,1,,5
4,81,7,1,,10
4,82,7,1,,
4,83,7,1,,
4,84,7,1,,
4,85,7,1,,
4,86,7,1,,
4,87,8,1,,
4,88,8,1,,
4,89,8,1,,
4,90,8,1,,
4,91,8,1,,
4,92,8,1,,
4,93,8,1,,
4,94,8,1,,
4,95,8,1,,
4,96,8,1,,
4,97,8,1,,
4,98,7,0,,
4,99,7,0,,
4,100,8,0,,
4,101,8,0,,
5,102,9,1,,
5,103,9,1,,
5,104,9,1,,
5,105,9,1,,
5,106,9,1,,
5,107,9,1,,
5,108,9,1,,
5,109,9,1,,
5,110,9,1,,
5,111,9,1,,
5,112,9,1,,
5,113,10,1,,
5,114,10,1,,
5,115,10,1,,
5,116,10,1,,
5,117,10,1,,
5,118,10,1,,
5,119,10,1,,
5,120,10,1,,
5,121,10,1,,
5,122,10,1,,
5,123,10,1,,
6,124,11,1,,
6,125,11,1,,
6,126,11,1,,
6,127,11,1,,
6,128,11,1,,
6,129,11,1,,
6,130,11,1,,
6,131,11,1,,
6,132,11,1,,
6,133,11,1,,
6,134,11,1,,
6,1,1,1,,
6,2,1,1,,
6,4,1,1,,
6,3,1,1,,
6,5,1,1,,
6,6,1,1,,
6,8,1,1,,
6,23,1,1,,
6,11,1,1,,
6,24,1,1,,
6,10,1,1,,
6,135,11,0,,
6,7,1,0,,
7,136,12,1,,
7,137,12,1,,
7,138,12,1,,
7,139,12,1,,
7,140,12,1,,
7,141,12,1,,
7,142,12,1,,
7,143,12,1,,
7,144,12,1,,
7,145,12,1,,
7,146,12,1,,
7,147,13,1,,
7,148,13,1,,
7,149,13,1,,
7,150,13,1,,
7,151,13,1,,
7,152,13,1,,
7,153,13,1,,
7,154,13,1,,
7,155,13,1,,
7,156,13,1,,
7,157,13,1,,
7,158,12,0,,
7,159,12,0,,
7,160,13,0,,
7,161,13,0,,
