id,edicao_id,campeonato_id,data,hora,fase,rodada,estadio_id,mandante_id,visitante_id,mandante_placar,visitante_placar,mandante_penalti,visitante_penalti,prorrogacao
1,1,,1971-08-29,,1R,,1,1,2,0,0,,,0
2,1,,1971-08-29,,1R,,,3,4,0,1,,,0
3,1,,1971-08-29,,1R,,,5,6,2,2,,,0
4,1,,1971-08-29,,1R,,2,7,8,6,0,,,0
5,1,,1971-08-29,,1R,,3,9,10,0,1,,,0
6,1,,1971-09-01,,1R,,2,11,1,2,0,,,0
7,1,,1971-09-01,,1R,,,12,13,1,3,,,0
