id,estadio,capacidade,local_id,inauguracao,ativo
1,Cícero Pompeu de Toledo (Morumbi),67428,1,1960,1
2,Estádio Gov. Magalhães Pinto (Mineirão),61846,5,1965,1
3,Estádio Jornalista Mário Filho (Maracanã),78838,2,1950,1
