id,edicao_id,campeonato_id,data,hora,fase,rodada,estadio_id,mandante_id,visitante_id,mandante_placar,visitante_placar,mandante_penalti,visitante_penalti,prorrogacao
1,1,,1971-08-07,,1R,,1,1,2,0,0,,,0
2,1,,1971-08-07,,1R,,2,3,4,1,1,,,0
3,1,,1971-08-07,,1R,,3,5,6,0,0,,,0
4,1,,1971-08-07,,1R,,4,7,8,1,4,,,0
5,1,,1971-08-07,,1R,,4,9,10,1,0,,,0
6,1,,1971-08-07,,1R,,5,11,12,0,3,,,0
7,1,,1971-08-07,,1R,,,13,14,0,0,,,0
8,1,,1971-08-07,,1R,,6,15,16,1,0,,,0
9,1,,1971-08-07,,1R,,7,17,18,0,0,,,0
10,1,,1971-08-07,,1R,,8,19,20,0,2,,,0
11,1,,1971-08-11,,1R,,,9,2,0,2,,,0
12,1,,1971-08-11,,1R,,9,1,10,1,1,,,0
13,1,,1971-08-11,,1R,,3,6,12,0,2,,,0
14,1,,1971-08-11,,1R,,,17,8,0,1,,,0
15,1,,1971-08-11,,1R,,2,20,16,2,1,,,0
16,1,,1971-08-12,,1R,,,7,18,1,0,,,0
17,1,,1971-08-14,,1R,,2,4,6,1,1,,,0
18,1,,1971-08-14,,1R,,,12,3,1,1,,,0
19,1,,1971-08-14,,1R,,3,10,5,1,1,,,0
20,1,,1971-08-14,,1R,,5,2,11,3,1,,,0
21,1,,1971-08-15,,1R,,2,20,13,2,0,,,0
22,1,,1971-08-15,,1R,,,1,9,3,0,,,0
23,1,,1971-08-15,,1R,,,17,7,0,0,,,0
24,1,,1971-08-15,,1R,,,14,18,0,1,,,0
25,1,,1971-08-15,,1R,,,8,15,0,0,,,0
26,1,,1971-08-15,,1R,,,19,16,2,1,,,0
27,1,,1971-08-18,,1R,,2,4,12,0,0,,,0
28,1,,1971-08-18,,1R,,,2,5,0,0,,,0
29,1,,1971-08-18,,1R,,,14,19,2,1,,,0
30,1,,1971-08-18,,1R,,,1,11,0,1,,,0
31,1,,1971-08-21,,1R,,,17,14,1,0,,,0
32,1,,1971-08-21,,1R,,,19,7,1,0,,,0
33,1,,1971-08-21,,1R,,3,10,3,0,1,,,0
34,1,,1971-08-21,,1R,,6,8,20,0,0,,,0
35,1,,1971-08-21,,1R,,,13,15,2,1,,,0
36,1,,1971-08-22,,1R,,10,2,6,0,0,,,0
37,1,,1971-08-22,,1R,,11,12,5,1,1,,,0
38,1,,1971-08-22,,1R,,4,9,11,0,0,,,0
39,1,,1971-08-22,,1R,,3,18,16,0,3,,,0
40,1,,1971-08-25,,1R,,10,15,20,1,1,,,0
41,1,,1971-08-25,,1R,,,19,13,0,1,,,0
42,1,,1971-08-25,,1R,,4,7,14,2,2,,,0
43,1,,1971-08-25,,1R,,2,3,1,4,0,,,0
44,1,,1971-08-25,,1R,,11,12,9,2,0,,,0
45,1,,1971-08-25,,1R,,3,5,4,2,1,,,0
46,1,,1971-08-26,,1R,,3,10,6,1,1,,,0
47,1,,1971-08-26,,1R,,6,8,16,4,1,,,0
48,1,,1971-08-28,,1R,,4,9,3,1,1,,,0
49,1,,1971-08-29,,1R,,1,1,4,0,0,,,0
50,1,,1971-08-29,,1R,,,19,18,0,2,,,0
