Nome,Primeira_Alcunha,Mascote,Fundação
Atlético Clube Três Corações,Galo do Sul,Galo,13 de setembrode1913(111 anos)
Barra Futebol Clube,,Leão,8 de junhode1937(88 anos)
Barra Mansa Futebol Clube,,Leão,15 de novembrode1908(116 anos)
Bayer Esporte Clube,N/A,N/A,1 de junhode1962(63 anos)
Associação Caçadorense de Desportos,N/A,Biguá,15 de janeirode1978
Cacerense Esporte Clube,,Crocodilo,5 de julhode2005(19 anos)
Cachoeiro Futebol Clube,,N/A,09 de janeirode1916
Caldas Esporte Clube,,Lobo-guará,18 de abrilde1982(43 anos)
Caxias Futebol Clube,,Pinguim,12 de outubrode1920(104 anos)[4]
Centro Limoeirense de Futebol,,Dragão,15 de setembrode1913(111 anos)
Centro de Futebol da Amazônia,,Raposa,17 de janeirode2001
Centro de Futebol Zico do Rio Sociedade Esportiva,,N/A,12 de julhode1996(28 anos)
Sociedade Esportiva e Recreativa Chapadão,N/A,N/A,28 de agostode1981
Chapadinha Futebol Clube,,Galo,19 de fevereirode1999(26 anos)
Esporte Clube Corinthians,,N/A,8 de fevereirode1945
Coroatá Futebol Clube,N/A,N/A,8 de abrilde1986(39 anos)
Coxim Atlético Clube,Jaús Furiosos,N/A,10 de janeirode2002
Associação Esportiva Recreativa Engenheiro Beltrão,,Engenheiro,1 de janeirode2003(22 anos)
Esporte Clube Limoeiro,,Cavalo,01 de novembrode1942(82 anos)
Fabril Esporte Clube,,Falcão,2 de setembrode1932(92 anos)
Associação Desportiva Guarabira,,Azulão,1930(95 anos)Refundado em24 de junhode1936(88 anos)Herdado em2 de maiode2005(20 anos)
Sport Club Guarany,,N/A,20 de setembrode1913(111 anos)
Holanda Esporte Clube,,Laranja,21 de outubrode2007(17 anos)
Associação Atlética Iguaçu,,Pantera[4],15 de agostode1971(53 anos)[5]
Itacuruba Sport Club,,Tilápia,2 de agostode1987(37 anos)
Associação Jaguaré Esporte Clube,,N/A,5 de Dezembrode2001
Associação Desportiva Jaruense,,N/A,7 de setembrode1995(29 anos)[1]
Sociedade Esportiva e Recreativa Juventude,N/A,N/A,23 de maiode1982(43 anos)[1]
Atlético Clube Lagartense,Verdão,N/A,11 de agostode1992(32 anos)
Clube Atlético Lages,,Gralha,10 de julhode2002
Legião Futebol Clube,,Leão,11 de maiode2006(19 anos)[nota 1]
Associação Desportiva Limoeiro Futebol Clube,,Jaguar,1 de fevereirode2001(24 anos)
Linhares Esporte Clube,,Corujão,15 de marçode1991
Esporte Clube Mamoré,,Sapo,13 de junhode1949(75 anos)[5]
Manchete Futebol Clube do Recife,,Coelho,1 de janeirode1950(75 anos)
Mineiros Esporte Clube,,Águia,20 de janeirode1977(48 anos)
Montes Claros Esporte Clube,,Bicho-papão,28 de agostode1992(32 anos)
Novo Horizonte Futebol Clube,,Fantasma,27 de fevereirode1968(57 anos)[1]
Olímpia Futebol Clube,,Galo,5 de dezembrode1946(78 anos)[4]
Operário Futebol Clube,N/A,N/A,8 de agostode2002(22 anos)
Esporte Clube Operário,,Chicote,2 de abrilde1996
Paraíso Esporte Clube,,Touro,7 de novembrode2006(18 anos)
Paranoá Esporte Clube,N/A,Sucuri,30 de abrilde2000(25 anos)
Esporte Clube Passo Fundo,,GaloBrasinha,10 de janeirode1986(39 anos)
Pedrabranca Futebol Clube,N/A,N/A,01 de janeirode2001(24 anos) (como RS Futebol Clube)[1]8 de agostode2008(16 anos)
Olímpico Pirambu Futebol Clube,,Leão,4 de setembrode1931(93 anos)
Esporte Clube Poções,,Raposa,8 de janeirode1985(40 anos)[3]
Quixadá Futebol Clube,,Canário,27 de outubrode1965(59 anos)
Rio Claro Futebol Clube,,Galo Azul[3],9 de maiode1909(116 anos)[5]
Atlético Rio Negro Clube (Roraima),,N/A,26 de abrilde1971(54 anos)
Rio Pardo Futebol Clube,Gigante do Caparaó,Cavalo (Paco macho),30 de abrilde1917(108 anos)
Esporte Clube Rio Verde,,Hulk,22 de agostode1963(61 anos)
Associação Atlética Rioverdense,,Abóbora,12 de abrilde1985(40 anos)
Roma Esporte Apucarana,,N/A,7 de fevereirode2000(como Roma Esporte Internacional de Barueri)
Santa Rosa Esporte Clube,,Macaco-prego,"6 de outubrode1925(99 anos)(segundo a FPF,6 de janeirode1924)"
Esporte Clube São Borja,,Índio,19 de fevereirode2009(16 anos)
Grêmio Esportivo Sãocarlense,,Lobo,19 de marçode1976(49 anos)
São Cristóvão de Futebol e Regatas,,Cabra,"12 de outubrode1898(126 anos), ingresso no Futebol em15 de julhode1909(115 anos)."
São Gabriel Futebol Clube,,N/A,2000[1]
Sociedade Esportiva e Recreativa São José,,Pitbull,26 de agostode1946(78 anos)
Serrano Futebol Clube,,LampiãoJumento,1 de outubrode1983(41 anos)
Sociedade Sportiva Sete de Setembro,Os Canarinhos Alagoanos,Canário,7 de setembrode1945(79 anos)
Social Futebol Clube,,Saci,1 de outubrode1944(80 anos)
Associação AtléticaTiradentes,,Tigre,21 de abrilde1973(52 anos)
Tocantins Esporte Clube (Maranhão),,Hulk,2 de dezembrode1975(49 anos)
Sport Club Ulbra Ji-Paraná,,Coruja[1],1 de abrilde2005[1]
Unibol Futebol Clube,N/A,N/A,16 de outubrode1996(28 anos)
Vênus Atlético Clube,,Pássaro Azulão,20 de maiode1949(76 anos)
Vera Cruz Futebol Clube (Vitória de Santo Antão),,Galo,3 de fevereirode1960(65 anos)
Goianésia Esporte Clube,,Azulão,28 de marçode1955(70 anos)[3]
Associação Desportiva Bahia de Feira,,Tremendão,2 de julhode1937(87 anos)
Futebol Clube Cascavel,,Cobra Cascavel,16 de janeirode2008(17 anos)
Nova Iguaçu Futebol Clube,,LaranjinhaPantera,1 de abrilde1990(35 anos)
Guarani Esporte Clube,,Leão do Mercado,10 de abrilde1941(84 anos)
Iporá Esporte Clube,,Lobo-Guará,1 de janeirode2000(25 anos)
Náutico Futebol Clube,,Águia,22 de dezembrode1962(62 anos)
Sinop Futebol Clube,,Galo,16 de janeirode1977(48 anos)[3]
Real Ariquemes Esporte Clube,,Furacão,25 de abrilde2011(14 anos)
Sport Clube Humaitá,,Touro,15 de marçode2003(22 anos)
Interporto Futebol Clube,,tigre[2],13 de julhode1990(34 anos)[3][4]
Murici Futebol Clube,,papagaio[3],7 de julhode1974[4]
Clube Atlético Patrocinense,CAP,Águia,19 de marçode1954(71 anos)
Gazin Porto Velho Esporte Clube,,LocomotivaMaquinista,23 de abrilde2018(7 anos)
Real Noroeste Capixaba Futebol Clube,Merengue Capixaba,Águia,9 de abril de 2008
Clube Esportivo Aimoré,,Índio,26 de marçode1936(89 anos)[3]
Concórdia Atlético Clube,,Galo,2 de marçode2005(20 anos)[2][3]
Cordino Esporte Clube,,Onça,8 de marçode2010(15 anos)[4]
Gálatas Esporte Clube,N/A,Leão,8 de maiode2025(1 mês)
Fluminense Esporte Clube,,Vaqueiro Belchior,31 de janeirode1938(87 anos)
Foz do Iguaçu Futebol Clube,,N/A,9 de fevereirode1996(29 anos)
Galvez Esporte Clube,,Gavião,3 de julhode2011(13 anos)[3]
Associação Desportiva Iguatu,,Azulão do Peito Seco,11 de marçode2010(15 anos)
Independente Atlético Clube,,Galo,28 de novembrode1972(52 anos)
Sociedade Esportiva Juventude,Samas,Poraquê,14 de junhode1979(45 anos)
Penarol Atlético Clube,,Leão,8 de agostode1947(77 anos)[3]
Plácido de Castro Futebol Club,,Tigre,3 de novembrode1979(45 anos)
Resende Futebol Clube,,Lobo-Guará,6 de junhode1909(116 anos)
Santa Cruz Futebol Clube (Natal),,Cardeal,25 de dezembrode1965(59 anos)
Clube Atlético Tubarão,Peixe,Tubarão,14 de abrilde2005(20 anos)
Vilhena Esporte Clube,,Lobo,3 de junhode1991(34 anos)
Afogados da Ingazeira Futebol Clube,,Coruja,18 de dezembrode2013(11 anos)
Esporte Clube Água Santa,,Neptuno,27 de outubrode1981(43 anos)[1]
Aquidauanense Futebol Clube,,arara-azul[1]índio[1],10 de dezembrode2001(23 anos)[2]
Esporte Clube Aracruz,,DragãoVermelho,12 de junhode1954(70 anos)
Grêmio Osasco Audax,,Garoto audacioso,8 de dezembrode1985(39 anos)
Audax Rio de Janeiro Esporte Clube,N/A,Cachorro,8 de maiode2005(20 anos)
Esporte Clube Avenida,,Periquito,6 de janeirode1944(81 anos)[6]
Azuriz Futebol Clube,,Gralha-azul,fevereirode2018(7 anos)[1]
Barcelona Futebol Clube,Índio Zonoecê,Índio Zonoecê[3],1995(30 anos)7 de outubrode2016(8 anos) (profissional)
Barra Futebol Clube,Pescador,Pescador,18 de janeirode2013(12 anos)
Bragantino Clube do Pará,,Tubarão,29 de janeirode1993(32 anos)
Cametá Sport Club,,Mapará,22 de junhode2007(17 anos)
Caucaia Esporte Clube,,Raposa,16 de abrilde2004(21 anos)
Cerâmica Atlético Clube,,Ligeirinho,19 de abrilde1950(75 anos)
Comercial Atlético Clube,,Bode,21 de abrilde1945(80 anos)[2]
Costa Rica Esporte Clube,CREC,N/A,2 de dezembrode2004(20 anos)
Clube Sociedade Esportiva,,Índio Xucuru,21 de junhode1947(77 anos)
Lagarto Futebol Clube,Verdão,Lagarto,20 de abrilde2009(16 anos)
Clube Esportivo Lajeadense,,N/A,23 de abrilde1911(114 anos)[3]
Manauara Esporte Clube,,Robô[2],30 de novembrode2020(4 anos)
Maracanã Esporte Clube,,Maracanã,31 de janeirode2005(20 anos)
Pacajus Esporte Clube,Cacique do Vale do Caju,Paiacu,17 de junhode2017(7 anos)
Paragominas Futebol Clube,,Jacaré,6 de marçode2012(13 anos)
Clube Atlético Penapolense,,N/A,16 de novembrode1944(80 anos)[4]
Paraná Soccer Technical Center,,Leão,15 de agostode1994(30 anos)[3]
Red Bull Bragantino II,,Touro,19 de novembrode2007(17 anos)
Sociedade Esportiva River Plate,,Leão,18 de agostode1967
Serra Talhada Futebol Clube,,Cangaceiro,25 de fevereirode2011(14 anos)
Clube Desportivo Sete de Setembro,,N/A,7 de setembrode1994(30 anos)
Sociedade Ação Futebol,N/A,Tuiuiú,31 de agostode2007(17 anos)
Associação Atlética Araguaia,,Arara[1],16 de julhode2014(10 anos)
Araguaia Atlético Clube,,Pantera,1 de dezembrode1998(26 anos)[2]
Arapongas Esporte Clube,,Araponga,6 de junhode1974(51 anos)[3]
Araxá Esporte Clube,,Ganso,16 de novembrode1958(66 anos)
Associação Sportiva Sociedade Unida,,Camaleão,10 de janeirode2002(23 anos)
Clube Atlético Itapemirim,,Galo,5 de dezembrode1965(59 anos)
Clube Atlético Pernambucano,,Tatu-Bola,8 de marçode2006(19 anos)comoClube Atlético de Vicência
Barcelona Futebol Clube,,Onça-pintada,17 de setembrode2019(5 anos)
Belo Jardim Futebol Clube,,Calango[1],18 de janeirode2005(20 anos)[1]
Camboriú Futebol Clube,,Homem-Pedra,11 de abrilde2003(22 anos)
Capital Clube de Futebol SAF S/C Ltda.,,Coruja,5 de julhode2005(19 anos)
Capital Futebol Clube,,Reizinho,21 de maiode2012(13 anos)(profissionalizou-se em 2014)
Crato Esporte Clube,,Índio Cariri,19 de novembrode1997(27 anos)
Esporte Clube Cruzeiro Arapiraca,,Urso,28 de maiode2019(6 anos)
Esporte Clube Cruzeiro,,Leão,14 de julhode1913(111 anos)
Estanciano Esporte Clube,,Canário,14 de junhode1956(68 anos)
Falcon Futebol Clube,,Carcará,23 de novembrode2020(4 anos)
Feirense,N/A,Arqueiro VerdeÁguia,30 de maiode2007(18 anos)
Bosque Formosa Esporte Clube,,Cobra-Cipó,21 de setembrode1978(46 anos)
Associação Desportiva Freipaulistano,,Touro,29 de agostode2016(8 anos)
Guarani de Palhoça Futebol Ltda,,Índio,15 de fevereirode1928(97 anos)[1]
Guarany Futebol Clube,,Índio,19 de abrilde1907(118 anos)
Itabirito Futebol Clube,,Gato-do-mato,22 de maiode2022(3 anos)
Associação Desportiva Itaboraí,,Águia,30 de julhode1976(48 anos)
Jaraguá Esporte Clube,,Gavião-da-serra,2 de fevereirode1929(96 anos)
Jaciobá Atlético Clube,,Azulão,25 de janeirode1964(61 anos)
Jacobina Esporte Clube,,Jegue,1 de dezembrode1993(31 anos)
Associação Desportiva Jequié,,Sol,20 de novembrode1969(55 anos)
JV Lideral Futebol Clube,,N/A,30 de abrilde1994(31 anos)
Maricá Futebol Clube,,Lobisomem de Bambuí[1],27 de fevereirode2003(22 anos)[nota 1]
Atlético Monte Azul,,Azulão,28 de abrilde1920(105 anos)
Nacional Esporte Clube Ltda,,Búfalo,28 de junhode2008(16 anos)
Náuas Esporte Clube,,Índio,19 de outubrode1923(101 anos)
Clube Esportivo Naviraiense,,N/A,25 de novembrode2005
Nova Mutum Esporte Clube,,Azulão e Gaúchos,10 de setembrode1988(36 anos)
Nova Venécia Futebol Clube,,Leão,27 de abrilde2021(4 anos)
Novo Futebol Clube,N/A,N/A,11 de outubrode2010(14 anos)
Sport Club Penedense,,Jacaré,3 de janeirode1909(116 anos)
Academia de Futebol Pérolas Negras,,Cachorro,2009(16 anos)
Porto Vitória Futebol Clube,,Capitão Barba Verde,16 de outubrode2014(10 anos)
Esporte Clube Próspera,,Minerador,29 de marçode1946(79 anos)[2]
Prudentópolis Futebol Clube,,Tigre,1 de setembrode2007(17 anos)
Rio Branco Futebol Clube,,N/A,29 de junhode1945(79 anos)[1]
Rondoniense Social Clube,,Periquito,2007(18 anos)
Sport Club Santa Rita,,Leão,22 de maiode1974(51 anos)(como Associação Atlética Santa Rita)
Santana Esporte Clube,,Canário,25 de setembrode1955(69 anos)
São Francisco Futebol Clube (Acre),,Santo Francisco,10 de abrilde1967(58 anos)
Independente Futebol São Joseense,,Lobo,22 de maiode2015(10 anos)
São Paulo Crystal Futebol Clube,",",Carcará,10 de fevereirode2008(17 anos) (como Lucena Sport Clube)
Grêmio Recreativo Serrano,,Lobo,20 de setembrode1989(35 anos)
Sociedade Desportiva Sparta,,N/A,25 de fevereirode2006(19 anos)
Tocantins Esporte Clube,,Jaburu,10 de marçode1993(32 anos)
Tocantins Futebol Clube,,Tigre,10 de outubrode1999(25 anos)
Tupynambás Futebol Clube,,Leão,15 de agostode1911(113 anos)
Vilhenense Esportivo Clube,,Leão,10 de outubrode2017[3]
