Nome,Primeira_Alcunha,Mascote,Fundação
Associação Atlética Anapolina,,Fênix[4],1 de janeirode1948(77 anos)
Sociedade Esportiva e Recreativa Caxias do Sul,,Bepe (italiano)[1]Falcão Grená[1],10 de abrilde1935(90 anos)[2]
Grêmio Esportivo Brasil,,Índio Xavante,7 de setembrode1911(113 anos)[1]
União São João Esporte Clube,,Arara,14 de janeirode1981(44 anos)
Uberlândia Esporte Clube,,periquito[4],1 de novembrode1922(102 anos)[6]
Fluminense de Feira Futebol Clube,,Touro,1 de janeirode1941(84 anos)
Clube Esportivo Operário Várzea-Grandense,,Chicote,1 de maiode1949(76 anos)[6]
Goiânia Esporte Clube,,GaloCarijó,5 de julhode1938(86 anos)[nota 1]comoCorintians Goiano
Cuiabá Esporte Clube,,Peixe Dourado,12 de dezembrode2001(23 anos)
Piauí Esporte Clube,,Rato,15 de agostode1948(76 anos)
Esporte Clube XV de Novembro,,Nhô Quim (Caipira),15 de novembrode1913(111 anos)
Volta Redonda Futebol Clube,,JaguatiricaOperário,9 de fevereirode1976(49 anos)
Maranhão Atlético Clube,,Bode,24 de setembrode1932(92 anos)
Associação Desportiva Leônico,,Leão,3 de abrilde1940(85 anos)
Villa Nova Atlético Clube,,Leão,28 de junhode1908(116 anos)
Nacional Fast Clube,,Rolo Compressor,8 de julhode1930(94 anos)
Alecrim Futebol Clube,,Periquito,15 de agostode1915(109 anos)
Sport Club São Paulo,,Leão[1],4 de outubrode1908(116 anos)[3]
Clube Esportivo Dom Bosco,,Leão,4 de janeirode1925(100 anos)
Centro de Esportivo Universário de Brasília Esporte Clube,N/A,N/A,1968
Clube Atlético Ferroviário (Paraná),,N/A,12 de janeirode1930(95 anos)[1]
Fonseca Atlético Clube,,Galo Carijó,12 de outubrode1917(107 anos)[1]
Rabello Futebol Clube,N/A,N/A,17 de agostode1957(67 anos)
Central Sport Club,,Patativa[4],15 de junhode1919(105 anos)[5]
Esporte Clube Santo André,,João Ramalho(Ramalhão),18 de setembrode1967(57 anos)como Santo André F.C.22 de marçode1975(50 anos)como E.C. Santo André
América Futebol Clube,,Brasinha,28 de janeirode1946(79 anos)
Campo Grande Atlético Clube,,Galo,13 de junhode1940(84 anos)
Grêmio Barueri Futebol Ltda.,N/A,Abelhão,26 de marçode1989(36 anos)
Esporte Clube Pinheiros,,Leão,14 de julhode1914(como Savoia)12 de agostode1971(como Pinheiros)
São José Esporte Clube,,Águia,13 de agostode1933(91 anos)
Itabuna Esporte Clube,,Dragão,23 de maiode1967(58 anos)
Comercial Futebol Clube,,Leão,10 de outubrode1911(113 anos)[1]
Galícia Esporte Clube,,Granadeiro,1 de janeirode1933(92 anos)[8]
Clube Sportivo Capelense,,Galo,4 de abrilde1946(79 anos)
Olaria Atlético Clube,,Índio[1],1 de julhode1915(109 anos)
Esporte Clube XV de Novembro,,Galo,15 de novembrode1924
Sport Clube Santa Cruz (Estância),,N/A,3 de maiode1930(95 anos)
Santo Antônio Futebol Clube,N/A,N/A,19 de novembro de 1919
Clube Atlético Juventus,,Moleque Travesso,20 de abrilde1924(101 anos)
Operário Ferroviário Esporte Clube,,Fantasma,1 de maiode1912(113 anos)
Catuense Futebol S/A,,Bem-te-vi,1 de janeirode1974(51 anos)[4]
Esporte Clube Novo Hamburgo,,Sapato(Pé Quente),1 de maiode1911(114 anos)[4]
Agremiação Sportiva Arapiraquense,,Fantasma,25 de setembrode1952(72 anos)
Brasiliense Futebol Clube,,Jacaré,1 de agostode2000(24 anos)
Itumbiara Esporte Clube,,Gigante do Vale,9 de marçode1970(55 anos)
Taguatinga Esporte Clube,TEC,Águia,18 de fevereirode1974(51 anos)[nota 1]
Ipatinga Futebol Clube,,Tigre,21 de maiode1998(27 anos)
Esporte Clube Noroeste,,Locomotiva VermelhaMaquinista,1 de setembrode1910(114 anos)
Associação Ferroviária de Esportes,,Locomotiva,12 de abrilde1950(75 anos)[4]
Esporte Clube São Bento,,Tira Prosa,14 de setembrode1913(111 anos)
Anápolis Futebol Clube,,Galo,1 de maiode1946(79 anos)comoUnião Operária
Vitória Futebol Clube,Águia Azul,Águia,1 de outubro de 1912
Associação Atlética Colatina,N/A,N/A,13 de maiode1978
Clube de Regatas Guará,,Lobo-Guará,9 de janeirode1957
Sobradinho Esporte Clube,,Leão,1 de janeirode1975(50 anos)
Mirassol Futebol Clube,,Leão,9 de novembrode1925(99 anos)
Esporte Clube Internacional,,Dinossauro,16 de maiode1928(97 anos)
Auto Esporte Clube (Paraíba),Alvirubro das Mangabeiras,Macaco,7 de setembrode1936(88 anos)
J.Malucelli Futebol S/A,,Garoto,27 de dezembrode1994(30 anos)[1]
Associação Atlética Caldense,,Periquito,7 de setembrode1925(99 anos)
Corumbaense Futebol Clube,,N/A,1 de janeirode1914(111 anos)[2]
Auto Esporte Clube (Piauí),",",Calhambeque,1 de maiode1951(74 anos)
Ferroviário Esporte Clube,,N/A,10 de setembrode1941
Associação Cultural e Desportiva Potiguar,"""Time Macho""",Príncipe,11 de fevereirode1945(80 anos)
Associação Atlética Francana,,Feiticeira,12 de outubrode1912(112 anos)
América Futebol Clube (Sergipe),,Cavalo,8 de agostode1942(82 anos)[4]
Clube Esportivo Rio Branco,,Carcará,5 de novembrode1912(112 anos)
Esporte Clube Internacional,,"Leão Baio, Leão da Serra",13 de junhode1949(75 anos)
Hercílio Luz Futebol Clube,Leão do Sul,Leão,22 de dezembrode1918(106 anos)
Esporte Clube Água Verde,,N/A,14 de julhode1914
América Football Club (Ceará),,Águia Fênix Alencarina,11 de novembrode1920(104 anos)
Esporte Clube Comercial,N/A,Leão do Norte,14 de marçode1943
Departamento de Força e Luz Futebol Clube,N/A,N/A,25 de dezembrode1959(65 anos)
Estrela do Mar Esporte Clube,N/A,N/A,N/A
Olímpico Clube,,Onça-pintada,17 de outubrode1938(86 anos)
Grêmio Esportivo Olímpico,,N/A,14 de agostode1919(105 anos)
Paula Ramos Esporte Clube,,Manezinha,15 de dezembrode1937(87 anos)
Sociedade Esportiva e Recreativa Perdigão,N/A,Perdiz,1964
Esporte Clube Siderúrgica,,Tartaruga,31 de maiode1930(95 anos)
Mogi Mirim Esporte Clube,,Sapo,01 de fevereirode1932(93 anos)
Oeste Futebol Clube,,Onça,25 de janeirode1921(104 anos)
Ituano Futebol Clube,,Galo,24 de maiode1947(78 anos)[11]
Boa Esporte Clube,,Coruja,30 de abrilde1947(78 anos)
