ID_Jogador,Nome Completo,Data de Nascimento,Data de Falecimento,Nacionalidade
197981,Geuvânio Santos Da Silva Lima,1992-04-05,N/A,Brasil
26344,Antônio Lima dos Santos,1942-01-18,2025-02-03,Brasil
467701,Pedro Paulo Verissimo,1964-07-04,N/A,Brasil
74785,Mário Sérgio Santos Costa,1990-05-29,N/A,Brasil
5405,Michel dos Reis Santana,1977-11-18,N/A,Brasil
5356,Sérgio Manoel Júnior,1972-03-02,N/A,Brasil
362994,Luan Peres Petroni,1994-07-19,N/A,Brasil
11423,Cristiano Espindola de Ávalos dos Passos,1977-12-27,N/A,Brasil
11422,Alessandro Andrade de Oliveira,1973-05-27,N/A,Brasil
138082,Felipe Anderson Pereira Gomes,1993-04-15,N/A,Brasil
32563,Madson Formagini Caridade,1986-05-21,N/A,Brasil
570114,Sandry Roberto Santos Goes,2002-08-30,N/A,Brasil
5124,Sandro Barbosa Carneiro da Cunha,1973-02-17,N/A,Brasil
134110,Eduardo Colcenti Antunes,1992-02-24,N/A,Brasil
89510,Paulo Roberto Jamelli,1974-07-22,N/A,Brasil
168184,Marcelo Fernando Domingues Rezende,1975-05-08,N/A,Brasil
5617,Alex Rodrigo Dias da Costa,1982-06-17,N/A,Brasil
132134,Cláudio Adalberto Adão,1955-07-02,N/A,Brasil
75058,Guilherme de Aguiar Camacho,1990-03-02,N/A,Brasil
23305,Thiago Ribeiro Cardoso,1986-02-24,N/A,Brasil
95060,Neuciano de Jesus Gusmão,1988-12-26,N/A,Bulgária
269016,Vitor Frezarin Bueno,1994-09-05,N/A,Brasil
39,Eduardo Marques de Jesus Passos,1976-06-26,N/A,Brasil
64512,Paulo César Arruda Parente,1978-06-28,N/A,Brasil
10036,Caio Ribeiro Decoussau,1975-08-16,N/A,Brasil
32395,Ricardo Lucas Figueiredo Monte Raso,1974-05-02,N/A,Brasil
2745,Ricardo Luiz Pozzi Rodrigues,1976-05-23,N/A,Brasil
484833,Arthur Gomes Lourenço,1998-07-03,N/A,Brasil
267860,Ismael Mafra Cabral,1938-02-07,2009-01-15,Brasil
5708,Cléber Santana Loureiro,1981-06-27,2016-11-28,Brasil
26345,Alcindo Martha de Freitas,1945-03-31,2016-08-27,Brasil
349450,Belarmino de Oliveira Júnior,1951-01-08,N/A,Brasil
119484,João Rosa de Souza Filho,1956-03-04,N/A,Brasil
90149,André Felipe Ribeiro de Souza,1990-09-27,N/A,Brasil
246487,Flávio Antunes Teixeira,1969-10-07,N/A,Brasil
246465,Antônio Carlos Correia,1963-05-27,N/A,Brasil
202184,Marcos Roberto Pereira Bazílio,1976-08-18,N/A,Brasil
244099,Fiordemundo Marolla Júnior,1961-02-07,N/A,Brasil
373394,Arnaldo Poffo Garcia,1940-09-02,N/A,Brasil
23357,Cícero Santos,1984-08-26,N/A,Brasil
5444,Paulo Sérgio Rosa,1969-01-01,N/A,Brasil
5274,Fabiano Eller dos Santos,1977-11-16,N/A,Brasil
11125,William Salles de Lima Souza Júnior,1983-05-14,N/A,Brasil
119483,Márcio Antonio Rossini,1960-09-20,N/A,Brasil
5698,Adaílton José dos Santos Filho,1983-04-14,N/A,Brasil
57848,Ronaldo Rodrigues de Jesus,1965-06-19,N/A,Brasil
250453,Bruno Henrique Pinto,1990-12-30,N/A,Brasil
38793,Wesley Lopes Beltrame,1987-06-24,N/A,Brasil
238596,Vicente Gonçalves De Paulo,1949-09-05,2011-12-24,Brasil
25872,José Macia,1935-02-25,N/A,Brasil
5314,Claudio Andrés del Tránsito Maldonado Rivera,1980-01-03,N/A,Chile
609292,Kaio Jorge Pinto Ramos,2002-01-24,N/A,Brasil
5575,José Renato Santos Laplechade,1970-06-02,N/A,Brasil
49,Argélico Fuchs,1974-09-04,N/A,Brasil
526371,Rodrigo Fernández Cedrés,1996-01-03,N/A,Uruguai
5191,Roberto Brum Vallado,1978-07-07,N/A,Brasil
409228,José Carlos Pereira,1947-08-09,N/A,Brasil
5693,Felipe Garcia dos Prazeres,1988-01-10,N/A,Brasil
227335,Oberdan Nazareno Vilain,1945-06-02,N/A,Brasil
32454,José Eduardo Bischofe de Almeida,1987-10-29,N/A,Brasil
56483,Bruno Rodrigo Fenelon Palomo,1985-04-12,N/A,Brasil
23659,Ricardo Bóvio de Souza,1982-01-17,N/A,Brasil
825,Vágner Rogério Nunes,1973-08-15,N/A,Brasil
556364,Rodrygo Silva de Goes,2001-01-09,N/A,Brasil
691917,Vinícius Nelson de Souza Zanocelo,2001-01-30,N/A,Brasil
91587,Danilo Luiz da Silva,1991-07-15,N/A,Brasil
47836,Mauricio Alejandro Molina Uribe,1980-04-30,N/A,Colômbia
132133,Jorge Luís da Silva,1965-03-22,N/A,Brasil
375080,Eduardo Gabriel dos Santos Bauermann,1996-02-13,N/A,Brasil
26340,Rildo da Costa Menezes,1942-01-23,2021-05-16,Brasil
229273,Marcelo Castelo Veiga,1964-10-07,2020-12-14,Brasil
570120,Gabriel Cordeiro Pirani,2002-04-12,N/A,Brasil
287846,Leonardo Cittadini,1994-02-27,N/A,Brasil
125247,Vladimir Orlando Cardoso de Araújo Filho,1989-07-16,N/A,Brasil
8047,Luiz Alberto da Silva Oliveira,1977-12-01,N/A,Brasil
5229,Elder Alencar Machado de Campos,1976-07-19,N/A,Brasil
31333,Sérgio Ricardo Ramalho,1973-05-27,N/A,Brasil
406067,Daniel Guedes da Silva,1994-04-02,N/A,Brasil
27150,Mário Peres Ulibarri,1947-03-19,2023-09-18,Brasil
785551,Paulo Roberto Rodrigues Matheus,1953-04-29,1995-08-05,Brasil
349457,Moacir Bernardes Brida,1948-07-12,N/A,Brasil
111115,Alan Santos da Silva,1991-04-24,N/A,Brasil
467699,Danacir Maia,1963-11-08,N/A,Brasil
32466,Henrique Pacheco Lima,1985-05-16,N/A,Brasil
9923,Fábio de Jesus,1976-10-16,N/A,Brasil
5618,Fábio Pereira da Cruz,1979-07-30,N/A,Brasil
3351,Gustavo Nery de Sá da Silva,1977-07-22,N/A,Brasil
548846,Vinicius Balieiro Lourenço de Carvalho,1999-05-28,N/A,Brasil
137350,João Felipe Schmidt Urbano,1993-05-19,N/A,Brasil
32439,Antônio Monteiro Dutra,1973-08-11,N/A,Brasil
444128,Guilherme Augusto Vieira dos Santos,1995-04-13,N/A,Brasil
38375,Carlos Alberto Gálvan Méndez,1973-10-28,N/A,Argentina
23044,José Manuel Ramos Delgado,1935-08-26,2010-12-03,Argentina
467626,Carlos Cesar Ferreira,1964-10-12,N/A,Brasil
584087,Lucas Pires Silva,2001-03-24,N/A,Brasil
141580,Bruno da Silva Peres,1990-03-01,N/A,Brasil
467702,Rogerio Antonio Trivelato Pereira,1971-01-10,N/A,Brasil
95610,José Rodolfo Pires Ribeiro,1992-02-06,N/A,Brasil
5669,Jose Fabio Alves Azevedo,1976-06-15,N/A,Brasil
5320,Wendel Geraldo Maurício e Silva,1982-04-08,N/A,Brasil
467355,Marcelo Faria Fernandes,1971-04-20,N/A,Brasil
267536,Dorval Rodrigues,1935-02-26,2021-12-26,Brasil
207170,Ivanir Antônio dos Santos,1971-07-04,N/A,Brasil
57057,Luís Antônio Corrêa da Costa,1966-01-31,N/A,Brasil
713355,Joaquim Henrique Pereira Silva,1998-12-28,N/A,Brasil
5614,Mauro José Mestriner,1977-10-30,N/A,Brasil
15418,Rodolfo Sérgio Rodríguez y Rodríguez,1956-01-20,N/A,Uruguai
222773,David Cortez da Silva,1963-11-19,N/A,Brasil
693761,Lucas Henrique Barbosa,2001-02-22,N/A,Brasil
32214,Marcelo Antônio Guedes Filho,1987-05-20,N/A,Brasil
349453,Silmar Bueno,1951-11-27,N/A,Brasil
34613,Alan Kardec de Souza Pereira Júnior,1989-01-12,N/A,Brasil
450437,Yuri Oliveira Lima,1994-08-05,N/A,Brasil
232857,Luis Fernando Camilo,1970-12-23,N/A,Brasil
71094,Tomás Eduardo Rincón Hernández,1988-01-13,N/A,Venezuela
86554,Carlos Gilberto Nascimento Silva,1987-06-12,N/A,Brasil
217336,Leandro Cordeiro de Lima Silva,1993-09-25,N/A,Brasil
32222,Marcos Aurélio de Oliveira Lima,1984-02-10,N/A,Brasil
153103,Julio César Furch,1989-07-29,N/A,Argentina
5703,Carlos Andrade Souza,1987-01-23,N/A,Brasil
32322,Marcelo José da Silva,1976-05-25,N/A,Brasil
313716,Antônio Ferreira,1942-08-10,1990-01-26,Brasil
119098,Marcos Adriano Gonçalves de Barros,1969-07-30,N/A,Brasil
228060,Alcides Pinto Ribeiro Filho,1971-10-10,N/A,Brasil
154421,Eugenio Esteban Mena Reveco,1988-07-18,N/A,Chile
2603,José Roberto da Silva Junior,1974-07-06,N/A,Brasil
32221,Jonas Gonçalves Oliveira,1984-04-01,N/A,Brasil
25869,José Ely de Miranda,1932-08-08,2015-06-14,Brasil
25860,Gylmar dos Santos Neves,1930-08-22,2013-08-25,Brasil
73556,Róbson Michael Signorini,1987-11-10,N/A,Brasil
5524,Pedro Paulo de Oliveira,1977-06-29,N/A,Brasil
289104,Fernando Guisini Neto,1954-03-08,N/A,Brasil
31406,Humberlito Borges Teixeira,1980-10-05,N/A,Brasil
119474,José Mário Crispim,1954-05-16,N/A,Brasil
238198,Marcos Guilherme de Almeida Santos Matos,1995-08-05,N/A,Brasil
32236,Lucenilde Pereira da Silva,1975-01-14,N/A,Brasil
5433,José Alexandre Alves Lindo,1973-08-15,N/A,Brasil
168154,Darci Luiz Simon,1966-05-25,N/A,Brasil
547789,Gabriel Nascimento Rezende Brazão,2000-10-05,N/A,Brasil
5057,Rubens Vanderlei Tavares Cardoso,1976-09-06,N/A,Brasil
199637,Paulo Ronaldo Marconato,1974-06-01,N/A,Brasil
5681,Marcos Vicente dos Santos,1981-09-29,N/A,Brasil
5389,Douglas Freitas Cardozo Rodrigues,1982-03-16,N/A,Brasil
132350,Maurício de Almeida Copertino,1970-04-06,N/A,Brasil
5292,Flávio Pinto de Souza,1980-03-12,N/A,Brasil
31232,Antônio Reginaldo Matias de Araújo,1977-10-02,2016-01-11,Brasil
615361,Carlos Humberto Suzigan,1956-08-03,N/A,Brasil
717028,Kaiky Fernandes Melo,2004-01-12,N/A,Brasil
513361,Gonzalo Daniel Escobar,1997-03-16,N/A,Argentina
27455,José Sérgio Presti,1957-03-08,N/A,Brasil
232856,Édson Geraldo Pereira,1966-05-18,N/A,Brasil
474087,Ivanildo Alves de Souza,1966-07-17,N/A,Brasil
181070,Derlis Alberto Galeano González,1994-03-20,N/A,Paraguai
76601,Alex Sandro Lobo Silva,1991-01-26,N/A,Brasil
5159,Freddy Eusebio Rincón Valencia,1966-08-14,2022-04-14,Colômbia
26004,Mengálvio Pedro Figueiró,1939-12-17,N/A,Brasil
5612,Júlio Sérgio Bertagnoli,1978-11-08,N/A,Brasil
289115,Carlos Bianque da Silva,1954-10-03,2014-09-27,Brasil
10033,Rodrigo Bonifácio da Rocha,1985-12-04,N/A,Brasil
7212,Juary Jorge dos Santos Filho,1959-06-16,N/A,Brasil
505531,Cláudio César de Aguiar Mauriz,1940-08-22,1979-06-24,Brasil
2250,Rodrigo Fernandes Alflen,1978-06-14,N/A,Brasil
141464,Éverson Felipe Marques Pires,1990-07-22,N/A,Brasil
5647,Marcos Paulo dos Santos,1973-07-30,N/A,Brasil
55817,Patricio Julián Rodríguez,1990-05-04,N/A,Argentina
2883,Fabiano Pereira da Costa,1978-04-06,N/A,Brasil
417582,Paulo Róbson,1961-07-28,N/A,Brasil
