ID,clube,nome_completo,cidade,UF,região,ano_fundação,cores,ID_Ogol
369,Bayer †,ogol.com.br,Belford Roxo,RJ,Sudeste,N/A,N/A,N/A
370,Caçadorense †,ogol.com.br,Caçador,SC,Sul,N/A,N/A,N/A
371,Cacerense,ogol.com.br,Cáceres,MT,Centro-Oeste,N/A,N/A,N/A
372,Cachoeiro,ogol.com.br,Cachoeiro de Itapemirim,ES,Sudeste,N/A,N/A,N/A
373,Caldas,ogol.com.br,Caldas Novas,GO,Centro-Oeste,N/A,N/A,N/A
374,Caxias-SC,ogol.com.br,Joinville,SC,Sul,N/A,N/A,N/A
375,Centro Limoeirense,ogol.com.br,Limoeiro,PE,Nordeste,N/A,N/A,N/A
376,CFA †,ogol.com.br,Porto Velho,RO,Norte,N/A,N/A,N/A
377,CFZ-RJ †,ogol.com.br,Rio de Janeiro,RJ,Sudeste,N/A,N/A,N/A
378,Chapadão,ogol.com.br,Chapadão do Sul,MS,Centro-Oeste,N/A,N/A,N/A
379,Chapadinha,ogol.com.br,Chapadinha,MA,Nordeste,N/A,N/A,N/A
380,Corinthians-PP †,ogol.com.br,Presidente Prudente,SP,Sudeste,N/A,N/A,N/A
381,Coroatá †,ogol.com.br,Coroatá,MA,Nordeste,N/A,N/A,N/A
382,Coxim,ogol.com.br,Coxim,MS,Centro-Oeste,N/A,N/A,N/A
383,Duque de Caxias-MA †,ogol.com.br,Caxias,MA,Nordeste,N/A,N/A,N/A
384,Engenheiro Beltrão †,ogol.com.br,Engenheiro Beltrão,PR,Sul,N/A,N/A,N/A
385,EC Limoeiro,ogol.com.br,Limoeiro do Norte,CE,Nordeste,N/A,N/A,N/A
386,Fabril,ogol.com.br,Lavras,MG,Sudeste,N/A,N/A,N/A
387,Guarabira,ogol.com.br,Guarabira,PB,Nordeste,N/A,N/A,N/A
388,Guarany de Cruz Alta †,ogol.com.br,Cruz Alta,RS,Sul,N/A,N/A,N/A
389,Holanda,ogol.com.br,Rio Preto da Eva,AM,Norte,N/A,N/A,N/A
390,Iguaçu,ogol.com.br,União da Vitória,PR,Sul,N/A,N/A,N/A
391,Itacuruba †,ogol.com.br,Itacuruba,PE,Nordeste,N/A,N/A,N/A
392,Jaguaré,ogol.com.br,Jaguaré,ES,Sudeste,N/A,N/A,N/A
393,Jaruense †,ogol.com.br,Jaru,RO,Norte,N/A,N/A,N/A
394,Joaçaba †,ogol.com.br,Joaçaba,SC,Sul,N/A,N/A,N/A
395,Juventude-MT †,ogol.com.br,Primavera do Leste,MT,Centro-Oeste,N/A,N/A,N/A
396,Lagartense,ogol.com.br,Lagarto,SE,Nordeste,N/A,N/A,N/A
397,Lages †,ogol.com.br,Lages,SC,Sul,N/A,N/A,N/A
398,Legião,ogol.com.br,Brasília,DF,Centro-Oeste,N/A,N/A,N/A
399,AD Limoeiro,ogol.com.br,Limoeiro do Norte,CE,Nordeste,N/A,N/A,N/A
400,Linhares EC †,ogol.com.br,Linhares,ES,Sudeste,N/A,N/A,N/A
401,Mamoré,ogol.com.br,Patos de Minas,MG,Sudeste,N/A,N/A,N/A
402,Manchete †[MAN],ogol.com.br,Recife,PE,Nordeste,N/A,N/A,N/A
403,Mineiros,ogol.com.br,Mineiros,GO,Centro-Oeste,N/A,N/A,N/A
404,Montes Claros,ogol.com.br,Montes Claros,MG,Sudeste,N/A,N/A,N/A
405,Novo Horizonte,ogol.com.br,Ipameri,GO,Centro-Oeste,N/A,N/A,N/A
406,Olímpia,ogol.com.br,Olímpia,SP,Sudeste,N/A,N/A,N/A
407,Operário FC,ogol.com.br,Várzea Grande,MT,Centro-Oeste,N/A,N/A,N/A
408,EC Operário †,ogol.com.br,Várzea Grande,MT,Centro-Oeste,N/A,N/A,N/A
409,Paraíso [PAR],ogol.com.br,Paraíso do Tocantins,TO,Norte,N/A,N/A,N/A
410,Paranoá,ogol.com.br,Paranoá,DF,Centro-Oeste,N/A,N/A,N/A
411,Passo Fundo,ogol.com.br,Passo Fundo,RS,Sul,N/A,N/A,N/A
412,Pauferrense †,ogol.com.br,Pau dos Ferros,RN,Nordeste,N/A,N/A,N/A
413,Paulistano †,ogol.com.br,Paulista,PE,Nordeste,N/A,N/A,N/A
414,Pedrabranca [PED],ogol.com.br,Alvorada,RS,Sul,N/A,N/A,N/A
415,Pirambu,ogol.com.br,Pirambu,SE,Nordeste,N/A,N/A,N/A
416,Poções,ogol.com.br,Poções,BA,Nordeste,N/A,N/A,N/A
417,Quixadá,ogol.com.br,Quixadá,CE,Nordeste,N/A,N/A,N/A
418,Real Clube †,ogol.com.br,Itumbiara,GO,Centro-Oeste,N/A,N/A,N/A
419,Rio Claro,ogol.com.br,Rio Claro,SP,Sudeste,N/A,N/A,N/A
420,Rio Negro-RR,ogol.com.br,Boa Vista,RR,Norte,N/A,N/A,N/A
421,Rio Pardo †,ogol.com.br,Iúna,ES,Sudeste,N/A,N/A,N/A
422,Rio Verde,ogol.com.br,Rio Verde,GO,Centro-Oeste,N/A,N/A,N/A
423,Rioverdense,ogol.com.br,Rio Verde,GO,Centro-Oeste,N/A,N/A,N/A
424,Roma Apucarana †,ogol.com.br,Apucarana,PR,Sul,N/A,N/A,N/A
425,Santa Cruz,ogol.com.br,Santa Rita,PB,Nordeste,N/A,N/A,N/A
426,Santa Rosa,ogol.com.br,Belém,PA,Norte,N/A,N/A,N/A
427,São Borja [SBO],ogol.com.br,São Borja,RS,Sul,N/A,N/A,N/A
428,Sãocarlense,ogol.com.br,São Carlos,SP,Sudeste,N/A,N/A,N/A
429,São Cristóvão,ogol.com.br,Rio de Janeiro,RJ,Sudeste,N/A,N/A,N/A
430,São Gabriel FC †,ogol.com.br,São Gabriel,RS,Sul,N/A,N/A,N/A
431,São José-AP,ogol.com.br,Macapá,AP,Norte,N/A,N/A,N/A
432,Serrano-PE,ogol.com.br,Serra Talhada,PE,Nordeste,N/A,N/A,N/A
433,Sete de Setembro-AL,ogol.com.br,Maceió,AL,Nordeste,N/A,N/A,N/A
434,Social,ogol.com.br,Coronel Fabriciano,MG,Sudeste,N/A,N/A,N/A
435,Tiradentes-PA,ogol.com.br,Belém,PA,Norte,N/A,N/A,N/A
436,Tocantins-MA †,ogol.com.br,Imperatriz,MA,Nordeste,N/A,N/A,N/A
437,Ulbra-RO †,ogol.com.br,Ji-Paraná,RO,Norte,N/A,N/A,N/A
438,Unibol †,ogol.com.br,Paulista,PE,Nordeste,N/A,N/A,N/A
439,Vênus,ogol.com.br,Abaetetuba,PA,Norte,N/A,N/A,N/A
440,Vera Cruz,ogol.com.br,Vitória de Santo Antão,PE,Nordeste,N/A,N/A,N/A
441,Goianésia,ogol.com.br,Goianésia,GO,Centro-Oeste,N/A,N/A,N/A
442,Bahia de Feira,ogol.com.br,Feira de Santana,BA,Nordeste,N/A,N/A,N/A
443,FC Cascavel,ogol.com.br,Cascavel,PR,Sul,N/A,N/A,N/A
444,Nova Iguaçu,ogol.com.br,Nova Iguaçu,RJ,Sudeste,N/A,N/A,N/A
445,Guarani de Juazeiro,ogol.com.br,Juazeiro do Norte,CE,Nordeste,N/A,N/A,N/A
446,Iporá,ogol.com.br,Iporá,GO,Centro-Oeste,N/A,N/A,N/A
447,Náutico-RR [NAU],ogol.com.br,Boa Vista,RR,Norte,N/A,N/A,N/A
448,Sinop,ogol.com.br,Sinop,MT,Centro-Oeste,N/A,N/A,N/A
449,Real Ariquemes,ogol.com.br,Ariquemes,RO,Norte,N/A,N/A,N/A
450,Humaitá,ogol.com.br,Porto Acre,AC,Norte,N/A,N/A,N/A
451,Interporto,ogol.com.br,Porto Nacional,TO,Norte,N/A,N/A,N/A
452,Murici,ogol.com.br,Murici,AL,Nordeste,N/A,N/A,N/A
453,Patrocinense,ogol.com.br,Patrocínio,MG,Sudeste,N/A,N/A,N/A
454,Porto Velho,ogol.com.br,Porto Velho,RO,Norte,N/A,N/A,N/A
455,Real Noroeste,ogol.com.br,Águia Branca,ES,Sudeste,N/A,N/A,N/A
456,Aimoré,ogol.com.br,São Leopoldo,RS,Sul,N/A,N/A,N/A
457,Concórdia,ogol.com.br,Concórdia,SC,Sul,N/A,N/A,N/A
458,Cordino,ogol.com.br,Barra do Corda,MA,Nordeste,N/A,N/A,N/A
459,Espírito Santo,ogol.com.br,Vitória,ES,Sudeste,N/A,N/A,N/A
460,Fluminense-PI,ogol.com.br,Teresina,PI,Nordeste,N/A,N/A,N/A
461,Foz do Iguaçu,ogol.com.br,Foz do Iguaçu,PR,Sul,N/A,N/A,N/A
462,Galvez,ogol.com.br,Rio Branco,AC,Norte,N/A,N/A,N/A
463,Iguatu,ogol.com.br,Iguatu,CE,Nordeste,N/A,N/A,N/A
464,Independente-PA,ogol.com.br,Tucuruí,PA,Norte,N/A,N/A,N/A
465,Juventude Samas,ogol.com.br,São Mateus do Maranhão,MA,Nordeste,N/A,N/A,N/A
466,Penarol,ogol.com.br,Itacoatiara,AM,Norte,N/A,N/A,N/A
467,Plácido de Castro,ogol.com.br,Plácido de Castro,AC,Norte,N/A,N/A,N/A
468,Resende,ogol.com.br,Resende,RJ,Sudeste,N/A,N/A,N/A
469,Santa Cruz de Natal,ogol.com.br,Natal,RN,Nordeste,N/A,N/A,N/A
470,Atlético Tubarão,ogol.com.br,Tubarão,SC,Sul,N/A,N/A,N/A
471,Vilhena,ogol.com.br,Vilhena,RO,Norte,N/A,N/A,N/A
472,Afogados,ogol.com.br,Afogados da Ingazeira,PE,Nordeste,N/A,N/A,N/A
473,Água Santa,ogol.com.br,Diadema,SP,Sudeste,N/A,N/A,N/A
474,Aquidauanense,ogol.com.br,Aquidauana,MS,Centro-Oeste,N/A,N/A,N/A
475,Aracruz,ogol.com.br,Aracruz,ES,Sudeste,N/A,N/A,N/A
476,Audax,ogol.com.br,Osasco,SP,Sudeste,N/A,N/A,N/A
477,Audax Rio,ogol.com.br,São João de Meriti,RJ,Sudeste,N/A,N/A,N/A
478,Avenida,ogol.com.br,Santa Cruz do Sul,RS,Sul,N/A,N/A,N/A
479,Azuriz,ogol.com.br,Pato Branco,PR,Sul,N/A,N/A,N/A
480,Barcelona-RO,ogol.com.br,Vilhena,RO,Norte,N/A,N/A,N/A
481,Barra-SC,ogol.com.br,Balneário Camboriú,SC,Sul,N/A,N/A,N/A
482,Bragantino-PA,ogol.com.br,Bragança,PA,Norte,N/A,N/A,N/A
483,Cametá,ogol.com.br,Cametá,PA,Norte,N/A,N/A,N/A
484,Caucaia,ogol.com.br,Caucaia,CE,Nordeste,N/A,N/A,N/A
485,Cerâmica,ogol.com.br,Gravataí,RS,Sul,N/A,N/A,N/A
486,Comercial-PI,ogol.com.br,Campo Maior,PI,Nordeste,N/A,N/A,N/A
487,Costa Rica,ogol.com.br,Costa Rica,MS,Centro-Oeste,N/A,N/A,N/A
488,CSE,ogol.com.br,Palmeira dos Índios,AL,Nordeste,N/A,N/A,N/A
489,Lagarto,ogol.com.br,Lagarto,SE,Nordeste,N/A,N/A,N/A
490,Lajeadense,ogol.com.br,Lajeado,RS,Sul,N/A,N/A,N/A
491,Manauara,ogol.com.br,Manaus,AM,Norte,N/A,N/A,N/A
492,Maracanã-CE,ogol.com.br,Maracanaú,CE,Nordeste,N/A,N/A,N/A
493,Pacajus,ogol.com.br,Pacajus,CE,Nordeste,N/A,N/A,N/A
494,Paragominas,ogol.com.br,Paragominas,PA,Norte,N/A,N/A,N/A
495,Penapolense,ogol.com.br,Penápolis,SP,Sudeste,N/A,N/A,N/A
496,PSTC,ogol.com.br,Cornélio Procópio,PR,Sul,N/A,N/A,N/A
497,Red Bull Brasil,ogol.com.br,Campinas,SP,Sudeste,N/A,N/A,N/A
498,River Plate-SE†,ogol.com.br,Carmópolis,SE,Nordeste,N/A,N/A,N/A
499,Serra Talhada,ogol.com.br,Serra Talhada,PE,Nordeste,N/A,N/A,N/A
500,Sete de Dourados,ogol.com.br,Dourados,MS,Centro-Oeste,N/A,N/A,N/A
501,Ação,ogol.com.br,Santo Antônio de Leverger,MT,Centro-Oeste,N/A,N/A,N/A
502,AA Araguaia,ogol.com.br,Barra do Garças,MT,Centro-Oeste,N/A,N/A,N/A
503,Araguaia AC,ogol.com.br,Alto Araguaia,MT,Centro-Oeste,N/A,N/A,N/A
504,Arapongas,ogol.com.br,Arapongas,PR,Sul,N/A,N/A,N/A
505,Araxá,ogol.com.br,Araxá,MG,Sudeste,N/A,N/A,N/A
506,ASSU,ogol.com.br,Assú,RN,Nordeste,N/A,N/A,N/A
507,Atlético Itapemirim,ogol.com.br,Itapemirim,ES,Sudeste,N/A,N/A,N/A
508,Atlético Pernambucano,ogol.com.br,Carpina,PE,Nordeste,N/A,N/A,N/A
509,Barcelona de Ilhéus,ogol.com.br,Ilhéus,BA,Nordeste,N/A,N/A,N/A
510,Belo Jardim,ogol.com.br,Belo Jardim,PE,Nordeste,N/A,N/A,N/A
511,Camboriú,ogol.com.br,Camboriú,SC,Sul,N/A,N/A,N/A
512,Capital-DF,ogol.com.br,Paranoá,DF,Centro-Oeste,N/A,N/A,N/A
513,Capital-TO,ogol.com.br,Palmas,TO,Norte,N/A,N/A,N/A
514,Crato,ogol.com.br,Crato,CE,Nordeste,N/A,N/A,N/A
515,Cruzeiro de Arapiraca,ogol.com.br,Arapiraca,AL,Nordeste,N/A,N/A,N/A
516,Cruzeiro-RS,ogol.com.br,Cachoeirinha,RS,Sul,N/A,N/A,N/A
