Estádio,Capacidade,Localização
N/A,N/A,"Costa Rica,Mato Grosso do Sul"
Juca Sampaio,8.000,"Palmeira dos Índios,AL,Brasil"
Barretão,8000,"Lagarto,SE"
Estádio Alviazul[4],8.000,"Lajeado,Rio Grande do Sul,Brasil"
N/A,N/A,"Manaus,Amazonas,Brasil"
Estádio Prefeito Almir Dutra[1],18000,"Maracanaú,Ceará,Brasil"
João Ronaldo,3000,"Pacajus,Ceará,Brasil"
Arena Verde,15.0001,"Paragominas,PA"
Tenente Carriço,8.769,"Penápolis,São Paulo,Brasil"
Álvaro Alves[4],1018,"Alvorada do Sul,Paraná,Brasil"
N/A,N/A,"Jarinu,SP"
Fernando França,50002,"Carmópolis,SE"
Pereirão,3000,"Serra Talhada,Pernambuco,Brasil"
N/A,N/A,N/A
N/A,N/A,"Santo Antônio de Leverger,Brasil"
Estádio Irineu Spenthof,3.000,"Água Boa,Mato Grosso,Brasil"
Bilinão,3000,N/A
Estádio dos Pássaros[4],6.2405,"Arapongas,Paraná,Brasil"
Fausto Alvim,55001,N/A
Edgar Borges Montenegro (Edgarzão),4.0001,"Assu,Rio Grande do Norte,Brasil"
José Olívio Soares,20001,"Itapemirim,Espírito Santo,Brasil"
Estádio José Vareda,3500,"Limoeiro,Brasil"
Mário Pessoa,10.000,"Ilhéus,BA"
Mendonção[3],7.050,"Belo Jardim,Pernambuco,Brasil"
Robertão,3.500,"Camboriú,Santa Catarina,Brasil"
Arena da Coruja - Estádio JK,5.000,"Paranoá,DF,Brasil"
N/A,N/A,"Palmas,TO"
Mirandão,10000,N/A
Coaracy da Mata Fonseca,12000,"Arapiraca,Alagoas,Brasil"
Arena Cruzeiro,16.0003.000,N/A
Francão,8.000,"Estância,SE"
Estádio Adolfo Rollemberg-Arena Batistão,3.00015.000,"Aracaju,SE"
Jóia da Princesa,10000,"Feira de Santana,BA"
Diogão,8000,"Formosa,Brasil"
Titão,4.000,"Frei Paulo,SE"
Estádio Renato Silveira,2.081,"Palhoça,Santa Catarina,Brasil"
Estrela D'Alva,5.000,N/A
Estádio Coronel Afonso Moura de Castro,6401,"Itabirito,MG"
Alzirão,9001,"Itaboraí,Brasil"
Amintas de Freitas,6.000,"Jaraguá,Goiás,Brasil"
Elisão,5000,"Pão de Açúcar,Alagoas,Brasil"
José Rocha,6000,"Jacobina,BA"
Waldomiro Borges,3000,N/A
Estádio Walter Lira,1.200,N/A
Estádio Municipal João Saldanha[4],20004,"Maricá,Brasil"
Otacília Patrício Arroyo,13.100,N/A
Arena do Jacaré,18870,"Esmeraldas,Minas Gerais,Brasil"
Arena do Juruá,8.000,"Cruzeiro do Sul,Acre,Brasil"
Virotão,6000,"Naviraí,Mato Grosso do Sul,Brasil"
Estádio Municipal Valdir Doilho Wons,1200,N/A
Estádio Zenor Pedrosa Rocha,2000,"Nova Venécia,ES"
N/A,N/A,"Sidrolândia,Brasil"
Alfredo Leahy,6000,"Penedo,Alagoas,Brasil"
N/A,N/A,"Resende,RJ,Brasil[1]"
N/A,2000,"Vitória,ES"
Mário Balsini,4.900,"Criciúma,Santa Catarina,Brasil"
Newton Agibert,30904,"Prudentópolis,Paraná,Brasil"
Olímpio Perim,2.1002,"Venda Nova do Imigrante,ES"
Aluízio Ferreira,7.0001,"Porto Velho,RO,Brasil"
Olival Elias de Morais,2500,"Boca da Mata,AL"
Estádio Augusto Antunes,5000,"Santana,Amapá,Brasil"
Carlos Alberto Simão Antônio[1],1000,"Rio Branco,Acre[2]"
Estádio do Pinhão[1],52001,N/A
Carneirão,1.200,"Alagoa Nova,PB"
Feitosão,4.000,"Monteiro,PB"
Mirandão,10.000,"Araguaína,TO"
Castanheirão,2500,"Miracema do Tocantins,TO"
Nilton Santos,N/A,Palmas(TO)Brasil
Estádio José Paiz Soares,2.000,"Juiz de Fora,MG"
Portal da Amazônia,7.000,"Vilhena,RO,Brasil"
