Estádio,Capacidade,Localização
Pelezão,40000,"Brasília,Distrito Federal,Brasil"
Vila Capanema,N/A,"Curitiba,Paraná,Brasil"
N/A,N/A,N/A
N/A,N/A,"Brasília,Distrito Federal, Brasil"
Lacerdão[6],19.8007,"Caruaru,Pernambuco,Brasil"
Bruno José Daniel,12.000,"Santo André,São Paulo,Brasil"
Benedito Teixeira,329361,"São José do Rio Preto,Brasil"
Estádio Ítalo Del Cima,180001,"Campo Grande (bairro do Rio de Janeiro),Brasil"
Arena Barueri,31.452,"Barueri,São Paulo,Brasil"
Vila Olímpica,18500,"Curitiba,Paraná,Brasil"
Martins Pereira,12.234,N/A
Itabunão ou Fernandão,15200,N/A
Rua Tibiriçá(pioneiro)Costa Coelho(anterior)Estádio Palma Travassos(atual),18277,"Ribeirão Preto,Brasil"
Arena Parque Santiago[9],8000,"Salvador,Bahia,Brasil"
Manoel Moreira,8.000,N/A
Rua Bariri,8.300,N/A
Zezinho Magalhães,12.9781,N/A
Vila Operária,2.000,Estância(SE)Brasil
Rubens Gomes,N/A,"Vitória,Espírito Santo,Brasil"
Estádio Conde Rodolfo Crespi,5.180,"São Paulo,São Paulo,Brasil"
Germano Krüger,10.6321,"Ponta Grossa,Paraná,Brasil"
Antônio Pena,8000,"Catu,BA"
Estádio do Vale[5],5.1966,"Novo Hamburgo,Rio Grande do Sul,Brasil"
Fumeirão,12.000,"Arapiraca,Alagoas,Brasil"
Boca do Jacaré,270001,"Taguatinga,Distrito Federal,Brasil"
N/A,N/A,"Itumbiara,GO,Brasil"
N/A,N/A,"Taguatinga,DF,Brasil"
Ipatingão,22000,"Ipatinga,Brasil"
Alfredo de Castilho,18.866,N/A
Fonte Luminosa[5],20.000,"Araraquara,São Paulo,Brasil"
Walter Ribeiro,13.772,"Sorocaba,São Paulo,Brasil"
Jonas Duarte,25.000,"Anápolis,Goiás,Brasil"
Ninho da Águia,3.0001,"Vitória,Espírito Santo,Brasil"
Justiniano de Mello e Silva,2.6001,"Colatina,Espírito Santo"
CAVE,165002,"Guará,Brasil"
Augustinho Lima,100001,"Sobradinho,DF,Brasil"
José Maria de Campos Maia,15000,"Mirassol,São Paulo,Brasil"
Presidente Vargas(Baixada Melancólica),8500,N/A
AlmeidãoMangabeirão,25770,N/A
Janguito Malucelli,4.200,"Curitiba,Paraná,Brasil"
Estádio Dr. Ronaldo Junqueira(Ronaldão),7.6001,N/A
Arthur Marinho[3],N/A,"Corumbá,Brasil[2]"
Lindolfo Monteiro,8.000,"Teresina,PI"
Nhozinho Santos,128911,"São Luís,Maranhão,Brasil"
NogueirãoEgdarzão,5.0002.900,"Mossoró,Rio Grande do Norte,Brasil"
José Lancha Filho(Lanchão),15.100,N/A
Durval Feitosa,3.000,"Propriá,SE"
Mílton Barbosa,3000,N/A
Vidal Ramos Júnior (Tio Vida),96001,"Lages,Santa Catarina,Brasil"
Estádio Aníbal Torres Costa,6.800,"Tubarão,Santa Catarina,Brasil"
Estádio Orestes Thá,N/A,N/A
Antony Costa,3.000,N/A
Ubirajara Medeiros,6000,N/A
Estádio do Defelê,1000,"Brasília,DF, Brasil"
N/A,N/A,"João Pessoa,Paraíba,Brasil"
N/A,N/A,N/A
Estádio da Alameda Rio Branco,N/A,"Blumenau,Santa Catarina,Brasil"
N/A,N/A,"Florianópolis,Santa Catarina,Brasil"
Luis Leoni,1.500,"Videira,Santa Catarina,Brasil"
Praia do Ó,1.0001,"Sabará,Minas Gerais,Brasil"
Estádio Vail Chaves,19.900,"Mogi Mirim,São Paulo,Brasil"
N/A,N/A,"Barueri,São Paulo,Brasil"
Novelli Júnior[12],16.74913,"Itu,São Paulo,Brasil"
N/A,N/A,"Ituiutaba,MG"
Bento de Abreu[4],198004,N/A
Ismael Benigno (Colina),11.000,N/A
Jayme Cintra,13.905,"Jundiaí,São Paulo,Brasil"
"Estádio do Junco, com capacidade para cerca de 10.000 torcedores",N/A,"Sobral,Ceará,Brasil"
Luthero Lopes[10],19.000,N/A
Estádio Divino Garcia Rosa,15000,"Goiatuba,Goiás"
Passo das Emas,10.0001,"Lucas do Rio Verde,MT"
Arena Romeirão,170001,"Juazeiro do Norte,CE"
Dario Rodrigues Leite,16.095,"Guaratinguetá,SP,Brasil"
N/A,N/A,"Brusque,Santa Catarina,Brasil"
Jair de Siqueira Bittencourt,10000,N/A
N/A,N/A,"Recife,Pernambuco,Brasil"
Jorge Ismael de Biasi[7],123988,"Novo Horizonte,São Paulo,Brasil"
Estádio Dr. Francisco de Salles Oliveira,1.150,"Juiz de Fora,Minas Gerais,Brasil"
José de Melo,6000,"Rio Branco,Brasil"
Estádio Dr. Hercílio Luz,6.010,"Itajaí,Santa Catarina,Brasil"
NogueirãoEdgarzão,2.0002.900,"Mossoró,Rio Grande do Norte,Brasil"
N/A,1.000,"Blumenau,Santa Catarina,Brasil"
Marrentão,3334,"Duque de Caxias,RJ,Brasil"
Montanha dos Vinhedos,12.8591,N/A
"Fredis Saldivar - ""Douradão""",30.0002,"Dourados,MS"
Olímpico Regional,28125,"Cascavel,Brasil"
Jorge Ismael de BiasiJosué Quirino de Moraes,12.872,"Novo Horizonte,São Paulo,Brasil"
Almeidão,6.555,"Tombos,Minas Gerais,Brasil"
Antônio Carneiro,16000,"Alagoinhas,Bahia,Brasil"
Boca do Lobo,23.3361,"Pelotas,Rio Grande do Sul,Brasil"
Roberto Siqueira Costa[7],20008,"Serra,Espírito Santo"
Parque do Azulão,8000,"Andradas,Minas Gerais,Brasil"
Elmo Serejo Farias,35.000,"Ceilândia,DF, Brasil"
Israel Pinheiro,500012,N/A
Carlos ZamithArena da Amazônia,10.00045.000,"Manaus,Amazonas,Brasil"
Mamudão,8675,"Governador Valadares,MG"
Zeca Costa,5000,N/A
Leônidas da Silva,23905,N/A
N/A,N/A,"Recife,Brasil"
Estádio dos Plátanos[4],2.490,"Santa Cruz do Sul,Rio Grande do Sul,Brasil"
Estádio Atílio Marotti,8500,N/A
