tipo,url,entity_id
jogadores,https://www.ogol.com.br/jogador/toninho-cerezo/27453,635
jogadores,https://www.ogol.com.br/jogador/dogival/794649,1112
jogadores,https://www.ogol.com.br/jogador/nene/800805,963
jogadores,https://www.ogol.com.br/jogador/luiz-carlos/799588,503
jogadores,https://www.ogol.com.br/jogador/adaozinho/630807,594
jogadores,https://www.ogol.com.br/jogador/da-silva/801095,1110
jogadores,https://www.ogol.com.br/jogador/anto-770-nio-carlos-/800917,976
jogadores,https://www.ogol.com.br/jogador/copeu/536225,105
jogadores,https://www.ogol.com.br/jogador/aguia-negra/801245,1245
jogadores,https://www.ogol.com.br/jogador/rogerio-macedo/434722,1246
jogadores,https://www.ogol.com.br/jogador/claudio/536247,171
jogadores,https://www.ogol.com.br/jogador/sergio/787487,951
jogadores,https://www.ogol.com.br/jogador/lucinho/801113,952
jogadores,https://www.ogol.com.br/jogador/vandeir/409734,1130
jogadores,https://www.ogol.com.br/jogador/omar/799569,1096
jogadores,https://www.ogol.com.br/jogador/diogo/410218,858
jogadores,https://www.ogol.com.br/jogador/prado/445302,861
jogadores,https://www.ogol.com.br/jogador/bosco/795228,1247
jogadores,https://www.ogol.com.br/jogador/jair-bala/497983,44
jogadores,https://www.ogol.com.br/jogador/raul-fernandes/541794,529
jogadores,https://www.ogol.com.br/jogador/wanderley-paiva/119701,31
jogadores,https://www.ogol.com.br/jogador/pedro-paulo/488719,238
jogadores,https://www.ogol.com.br/jogador/roberto/510360,1248
jogadores,https://www.ogol.com.br/jogador/manfrini/434712,940
jogadores,https://www.ogol.com.br/jogador/gerson/26341,130
jogadores,https://www.ogol.com.br/jogador/edu/139216,68
jogadores,https://www.ogol.com.br/jogador/cafuringa/437990,297
jogadores,https://www.ogol.com.br/jogador/wilson-santos/764465,1109
jogadores,https://www.ogol.com.br/jogador/natal/428319,241
jogadores,https://www.ogol.com.br/jogador/picole/785551,309
jogadores,https://www.ogol.com.br/jogador/cesar-maluco/27155,181
jogadores,https://www.ogol.com.br/jogador/celio/428688,225
jogadores,https://www.ogol.com.br/jogador/dada-maravilha/26669,34
jogadores,https://www.ogol.com.br/jogador/paulinho/437987,575
jogadores,https://www.ogol.com.br/jogador/tobias/318401,326
jogadores,https://www.ogol.com.br/jogador/alberto/798238,1038
jogadores,https://www.ogol.com.br/jogador/marco-antonio-visgo/440953,385
jogadores,https://www.ogol.com.br/jogador/bene/595556,318
jogadores,https://www.ogol.com.br/jogador/willians/349465,1249
jogadores,https://www.ogol.com.br/jogador/bira-lopes/429283,803
jogadores,https://www.ogol.com.br/jogador/nene/349450,384
jogadores,https://www.ogol.com.br/jogador/claudiomiro/456507,160
jogadores,https://www.ogol.com.br/jogador/volmir/505655,390
jogadores,https://www.ogol.com.br/jogador/humberto-ramos/200470,30
jogadores,https://www.ogol.com.br/jogador/ze-carlos-canguru/426325,844
jogadores,https://www.ogol.com.br/jogador/adalberto-lopes/783376,1250
jogadores,https://www.ogol.com.br/jogador/didi/494407,169
jogadores,https://www.ogol.com.br/jogador/renato/535268,1
jogadores,https://www.ogol.com.br/jogador/ronaldo-brito/800824,869
jogadores,https://www.ogol.com.br/jogador/reinaldo/766119,621
jogadores,https://www.ogol.com.br/jogador/gilson/485250,103
jogadores,https://www.ogol.com.br/jogador/luciano-oliveira/801207,206
jogadores,https://www.ogol.com.br/jogador/edinho/799273,1059
jogadores,https://www.ogol.com.br/jogador/lauro/592250,484
jogadores,https://www.ogol.com.br/jogador/dario/461711,48
jogadores,https://www.ogol.com.br/jogador/nelson-cuca/800938,1171
jogadores,https://www.ogol.com.br/jogador/chico-explosao/79653,983
jogadores,https://www.ogol.com.br/jogador/helinho/799618,897
jogadores,https://www.ogol.com.br/jogador/nascimento/428812,1150
jogadores,https://www.ogol.com.br/jogador/didi-pedalada/800427,1136
jogadores,https://www.ogol.com.br/jogador/mosca/595012,1251
jogadores,https://www.ogol.com.br/jogador/ze-carlos-olimpico/386860,577
jogadores,https://www.ogol.com.br/jogador/luiz-augusto/436054,1003
jogadores,https://www.ogol.com.br/jogador/ronaldo/767360,1223
jogadores,https://www.ogol.com.br/jogador/mario-tito/241898,889
jogadores,https://www.ogol.com.br/jogador/bugle/536259,219
jogadores,https://www.ogol.com.br/jogador/fumanchu/412657,700
jogadores,https://www.ogol.com.br/jogador/enio/800776,888
jogadores,https://www.ogol.com.br/jogador/flavio/445313,916
jogadores,https://www.ogol.com.br/jogador/luis-florencio/318640,1122
jogadores,https://www.ogol.com.br/jogador/roberto-reboucas/798664,366
jogadores,https://www.ogol.com.br/jogador/juca/799354,997
jogadores,https://www.ogol.com.br/jogador/rodolfo-fischer/245050,526
jogadores,https://www.ogol.com.br/jogador/luis-alberto/516486,395
jogadores,https://www.ogol.com.br/jogador/misael/627077,341
jogadores,https://www.ogol.com.br/jogador/rinaldo/432015,330
jogadores,https://www.ogol.com.br/jogador/miguel/409145,656
jogadores,https://www.ogol.com.br/jogador/paranhos/199751,1119
jogadores,https://www.ogol.com.br/jogador/ancheta/26619,471
jogadores,https://www.ogol.com.br/jogador/tiao/387123,90
jogadores,https://www.ogol.com.br/jogador/risadinha/210153,322
jogadores,https://www.ogol.com.br/jogador/alfredo-obberti/491754,533
jogadores,https://www.ogol.com.br/jogador/claudio/410440,371
jogadores,https://www.ogol.com.br/jogador/pio/412686,182
jogadores,https://www.ogol.com.br/jogador/tovar/456509,157
jogadores,https://www.ogol.com.br/jogador/bibi/423061,402
jogadores,https://www.ogol.com.br/jogador/beto/200796,456
jogadores,https://www.ogol.com.br/jogador/valdir-appel/487120,1192
jogadores,https://www.ogol.com.br/jogador/macedo/801270,1252
jogadores,https://www.ogol.com.br/jogador/dedeu/490897,568
jogadores,https://www.ogol.com.br/jogador/lacy/329572,557
jogadores,https://www.ogol.com.br/jogador/drailton/411451,121
jogadores,https://www.ogol.com.br/jogador/dias/638101,362
jogadores,https://www.ogol.com.br/jogador/augusto/536034,47
jogadores,https://www.ogol.com.br/jogador/laone-luz/801007,1253
jogadores,https://www.ogol.com.br/jogador/luis/801258,1254
jogadores,https://www.ogol.com.br/jogador/valmir/795767,1173
jogadores,https://www.ogol.com.br/jogador/baiano/494410,331
jogadores,https://www.ogol.com.br/jogador/chiquinho-pastor/489691,122
jogadores,https://www.ogol.com.br/jogador/francisco-reyes/119717,114
jogadores,https://www.ogol.com.br/jogador/mineiro/489694,537
jogadores,https://www.ogol.com.br/jogador/mario/792879,658
jogadores,https://www.ogol.com.br/jogador/calegari/536248,187
jogadores,https://www.ogol.com.br/jogador/xaxa/436442,198
jogadores,https://www.ogol.com.br/jogador/sergio-lopes/520609,753
jogadores,https://www.ogol.com.br/jogador/lairton/472604,355
jogadores,https://www.ogol.com.br/jogador/bolivar-guedes/386856,792
jogadores,https://www.ogol.com.br/jogador/ze-ito/799675,928
jogadores,https://www.ogol.com.br/jogador/daniel/801209,1255
jogadores,https://www.ogol.com.br/jogador/souza/535274,4
jogadores,https://www.ogol.com.br/jogador/chico-amorim/792845,1090
jogadores,https://www.ogol.com.br/jogador/ernesto/801266,1256
jogadores,https://www.ogol.com.br/jogador/mario/800825,868
jogadores,https://www.ogol.com.br/jogador/mimi/801233,1257
jogadores,https://www.ogol.com.br/jogador/santos/419875,1174
jogadores,https://www.ogol.com.br/jogador/ozires/276262,1258
jogadores,https://www.ogol.com.br/jogador/juraci/801129,1001
jogadores,https://www.ogol.com.br/jogador/wendell/441212,480
jogadores,https://www.ogol.com.br/jogador/jairzinho,453
jogadores,https://www.ogol.com.br/jogador/rubens-galaxe/172355,409
jogadores,https://www.ogol.com.br/jogador/hiran/799630,1259
jogadores,https://www.ogol.com.br/jogador/antenor/413236,765
jogadores,https://www.ogol.com.br/jogador/vantuir/119720,27
jogadores,https://www.ogol.com.br/jogador/fausto/799635,1260
jogadores,https://www.ogol.com.br/jogador/renato-silveira/472599,342
jogadores,https://www.ogol.com.br/jogador/cesar-augusto/27155,319
jogadores,https://www.ogol.com.br/jogador/laercio/801065,1261
jogadores,https://www.ogol.com.br/jogador/ivo/801061,1050
jogadores,https://www.ogol.com.br/jogador/edison/774148,1017
jogadores,https://www.ogol.com.br/jogador/marinho-peres/27150,265
jogadores,https://www.ogol.com.br/jogador/brecha/349457,675
jogadores,https://www.ogol.com.br/jogador/ferreira/800916,494
jogadores,https://www.ogol.com.br/jogador/edmilson/438379,677
jogadores,https://www.ogol.com.br/jogador/puruca/622212,1232
jogadores,https://www.ogol.com.br/jogador/marcio-gugu/443047,1262
jogadores,https://www.ogol.com.br/jogador/gaspar/800946,979
jogadores,https://www.ogol.com.br/jogador/joaozinho/800941,312
jogadores,https://www.ogol.com.br/jogador/dema/420797,999
jogadores,https://www.ogol.com.br/jogador/plinio/387118,846
jogadores,https://www.ogol.com.br/jogador/cicero/380083,1015
jogadores,https://www.ogol.com.br/jogador/ze-roberto/428785,1263
jogadores,https://www.ogol.com.br/jogador/decio-costa/420804,1264
jogadores,https://www.ogol.com.br/jogador/joao-daniel/651163,411
jogadores,https://www.ogol.com.br/jogador/eri/801275,1265
jogadores,https://www.ogol.com.br/jogador/carlos-alberto-barbosa/412643,1266
jogadores,https://www.ogol.com.br/jogador/paulo-ricardo/411958,572
jogadores,https://www.ogol.com.br/jogador/cidao/410753,1034
jogadores,https://www.ogol.com.br/jogador/pedro-pradera/421203,514
jogadores,https://www.ogol.com.br/jogador/henrique-pereira/798881,1075
jogadores,https://www.ogol.com.br/jogador/valdir/795756,1267
jogadores,https://www.ogol.com.br/jogador/afonso/766280,1268
jogadores,https://www.ogol.com.br/jogador/roberto-bacuri/445358,859
jogadores,https://www.ogol.com.br/jogador/cabecinha/419992,524
jogadores,https://www.ogol.com.br/jogador/rafael/614988,414
jogadores,https://www.ogol.com.br/jogador/dorinho/456492,172
jogadores,https://www.ogol.com.br/jogador/joao-ribeiro/592270,356
jogadores,https://www.ogol.com.br/jogador/kruger/536331,247
jogadores,https://www.ogol.com.br/jogador/dirceu-alves/536036,42
jogadores,https://www.ogol.com.br/jogador/toinzinho/618334,1083
jogadores,https://www.ogol.com.br/jogador/ze-luiz/786078,1108
jogadores,https://www.ogol.com.br/jogador/detinho/801269,1269
